,Station,Issue date/time,Validity from,Validity To,Wind dir (deg),Wind Speed,Gust,Significant Wx,FCST/OBS
0,VABB,01/0100,010130Z,010530Z,230,17KT,27KT,TSRA,FCST
1,VABB,01/0500,010530Z,010930Z,200,17KT,27KT,TSRA,FCST
2,VABB,01/0930,011000Z,011400Z,230,17KT,27KT,TSRA,FCST
3,VABB,01/1330,011400Z,011800Z,230,17KT,27KT,,FCST
4,VABB,01/1730,011800Z,012200Z,200,17KT,27KT,TSRA,FCST
5,VABB,02/0130,020200Z,020600Z,140,17KT,30KT,TSRA,FCST
6,VABB,02/0530,020600Z,021000Z,230,17KT,30KT,TSRA,FCST
7,VABB,02/0930,021000Z,021400Z,270,17KT,27KT,TSRA,FCST
8,VABB,02/1445,021500Z,021900Z,270,17KT,27KT,TSRA,FCST
9,VABB,02/1845,021900Z,022300Z,320,17KT,27KT,TSRA,FCST
10,VABB,02/2300,022330Z,030330Z,230,17KT,27KT,TSRA,FCST
11,VABB,03/0300,030330Z,030730Z,250,17KT,27KT,TSRA,FCST
12,VABB,03/0700,030730Z,031130Z,250,17KT,27KT,TSRA,FCST
13,VABB,03/1100,031130Z,031530Z,270,17KT,27KT,TSRA,FCST
14,VABB,03/1500,031530Z,031930Z,270,17KT,27KT,TSRA,FCST
15,VABB,03/1900,031930Z,032330Z,230,17KT,30KT,TSRA,FCST
16,VABB,03/2300,032330Z,040330Z,270,17KT,30KT,TSRA,FCST
17,VABB,04/0315,040330Z,040800Z,270,17KT,30KT,TSRA,FCST
18,VABB,04/0650,040700Z,041130Z,270,17KT,30KT,TSRA,FCST
19,VABB,04/1120,041100Z,041530Z,250,17KT,27KT,TSRA,FCST
20,VABB,04/1400,041430Z,041830Z,270,17KT,27KT,,FCST
21,VABB,04/1540,041600Z,042000Z,270,17KT,27KT,TSRA,FCST
22,VABB,04/2215,042230Z,050230Z,270,17KT,27KT,,FCST
23,VABB,05/0230,050300Z,050700Z,250,17KT,27KT,TSRA,FCST
24,VABB,05/0440,050500Z,050930Z,250,15KT,35KT,TSRA,FCST
25,VABB,05/0455,050430Z,050900Z,270,20KT,45KT,TSRA,OBS
26,VABB,05/0630,050630Z,051030Z,270,17KT,27KT,TSRA,OBS
27,VABB,05/1000,051030Z,051430Z,250,20KT,30KT,TSRA,FCST
28,VABB,05/1245,051300Z,051730Z,250,20KT,35KT,TSRA,FCST
29,VABB,05/1645,051700Z,052130Z,290,,45KT,TSRA,FCST
30,VABB,05/2045,052100Z,060130Z,320,20KT,35KT,TSRA,FCST
31,VABB,05/2330,060000Z,060400Z,250,20KT,45KT,+TSRA,FCST
32,VABB,06/0330,060400Z,060800Z,270,20KT,40KT,TSRA,FCST
33,VABB,06/0730,060800Z,061200Z,,22KT,40KT,TSRA,FCST
34,VABB,06/1130,061200Z,061600Z,270,20KT,35KT,TSRA,FCST
35,VABB,06/1530,061600Z,062000Z,270,20KT,35KT,TSRA,FCST
36,VABB,06/1930,062000Z,070000Z,270,20KT,35KT,TSRA,FCST
37,VABB,06/2330,070000Z,070400Z,270,20KT,35KT,TSRA,FCST
38,VABB,07/0330,070400Z,070800Z,250,20KT,35KT,TSRA,FCST
39,VABB,07/0730,070800Z,071200Z,250,20KT,40KT,TSRA,FCST
40,VABB,07/1150,071200Z,071600Z,270,25KT,35KT,TSRA,FCST
41,VABB,07/1530,071600Z,072000Z,290,20KT,30KT,TSRA,FCST
42,VABB,07/1930,071930Z,072330Z,270,20KT,45KT,TSRA,FCST
43,VABB,07/1930,071930Z,072330Z,270,20KT,45KT,TSRA,FCST
44,VABB,07/2000,072000Z,080000Z,270,17KT,30KT,TSRA,FCST
45,VABB,07/2330,080000Z,080400Z,270,17KT,30KT,TSRA,FCST
46,VABB,08/0330,080400Z,080800Z,270,20KT,40KT,TSRA,FCST
47,VABB,08/0730,080800Z,081200Z,270,17KT,30KT,TSRA,FCST
48,VABB,08/1130,081200Z,081600Z,270,17KT,30KT,TSRA,FCST
49,VABB,08/1630,081700Z,082100Z,270,17KT,30KT,,FCST
50,VABB,08/2030,082100Z,090100Z,250,17KT,27KT,,FCST
51,VABB,09/0030,090100Z,090500Z,250,17KT,27KT,TSRA,FCST
52,VABB,09/0430,090500Z,090900Z,250,20KT,30KT,,FCST
53,VABB,09/0830,090900Z,091300Z,250,20KT,30KT,,FCST
54,VABB,09/1230,091300Z,091700Z,250,20KT,30KT,,FCST
55,VABB,09/1700,091730Z,092130Z,250,17KT,27KT,,FCST
56,VABB,10/0300,100330Z,100730Z,250,17KT,27KT,,FCST
57,VABB,10/0700,100730Z,101130Z,250,17KT,30KT,,FCST
58,VABB,10/1200,101230Z,101630Z,250,17KT,27KT,,FCST
59,VABB,10/1700,101730Z,102130Z,230,17KT,,,FCST
60,VABB,10/2100,102130Z,110130Z,230,17KT,,,FCST
61,VABB,11/0100,110130Z,110530Z,230,17KT,27KT,,FCST
62,VABB,11/0500,110530Z,110930Z,250,17KT,27KT,,FCST
63,VABB,11/0900,110930Z,111330Z,250,20KT,30KT,,FCST
64,VABB,11/1300,111330Z,111730Z,230,17KT,30KT,,FCST
65,VABB,11/1700,111730Z,112130Z,230,17KT,27KT,,FCST
66,VABB,11/2100,112130Z,120130Z,230,17KT,27KT,,FCST
67,VABB,12/0100,120130Z,120530Z,230,20KT,30KT,,FCST
68,VABB,12/0500,120530Z,120930Z,250,17KT,27KT,,FCST
69,VABB,12/0900,120930Z,121330Z,250,17KT,35KT,,FCST
70,VABB,12/1300,121330Z,121730Z,250,17KT,27KT,,FCST
71,VABB,12/1700,121730Z,122130Z,230,17KT,27KT,,FCST
72,VABB,12/2100,122130Z,130130Z,230,17KT,27KT,,FCST
73,VABB,13/0100,130130Z,130530Z,230,17KT,27KT,,FCST
74,VABB,13/0500,130530Z,130930Z,250,17KT,30KT,,FCST
75,VABB,13/0900,130930Z,131330Z,230,17KT,30KT,,FCST
76,VABB,13/1700,131730Z,132130Z,230,17KT,27KT,,FCST
77,VABB,13/2100,132130Z,140130Z,230,17KT,27KT,,FCST
78,VABB,14/0100,140130Z,140530Z,230,17KT,30KT,,FCST
79,VABB,14/0500,140530Z,140930Z,250,17KT,27KT,,FCST
80,VABB,14/0900,140930Z,141330Z,250,17KT,27KT,,FCST
81,VABB,14/1300,141330Z,141730Z,250,17KT,27KT,,FCST
82,VABB,14/1700,141730Z,142130Z,250,17KT,27KT,,FCST
83,VABB,14/2100,142130Z,150130Z,250,17KT,27KT,,FCST
84,VABB,14/2330,150000Z,150400Z,250,17KT,27KT,TSRA,FCST
85,VABB,15/0330,150400Z,150800Z,,17KT,30KT,,FCST
86,VABB,15/0700,150800Z,151200Z,,17KT,27KT,,FCST
87,VABB,15/1130,151200Z,151600Z,,17KT,27KT,,FCST
88,VABB,15/1745,151800Z,152230Z,270,17KT,27KT,,FCST
89,VABB,15/2130,152200Z,160230Z,270,17KT,27KT,,FCST
90,VABB,16/0315,160330Z,160800Z,250,17KT,27KT,,FCST
91,VABB,16/0715,160730Z,161200Z,250,17KT,27KT,,FCST
92,VABB,16/1045,161100Z,161530Z,270,17KT,27KT,TSRA,FCST
93,VABB,16/1445,161500Z,161930Z,250,17KT,27KT,,FCST
94,VABB,16/1845,161900Z,162330Z,250,17KT,27KT,,FCST
95,VABB,16/2245,162300Z,170330Z,250,17KT,27KT,,FCST
96,VABB,17/0245,170300Z,170730Z,250,17KT,27KT,,FCST
97,VABB,17/0445,170500Z,170930Z,,,,TSRA,FCST
98,VABB,17/0700,170730Z,171130Z,270,17KT,30KT,,FCST
99,VABB,17/1100,171130Z,171530Z,270,17KT,27KT,,FCST
100,VABB,17/1500,171530Z,171930Z,270,17KT,27KT,,FCST
101,VABB,17/1930,172000Z,180000Z,270,17KT,27KT,,FCST
102,VABB,18/0000,180030Z,180430Z,270,17KT,27KT,,FCST
103,VABB,18/0400,180430Z,180830Z,270,20KT,30KT,TSRA,FCST
104,VABB,18/0800,180830Z,181230Z,270,20KT,30KT,TSRA,FCST
105,VABB,18/1200,181230Z,181630Z,250,17KT,27KT,TSRA,FCST
106,VABB,19/0300,190330Z,190730Z,270,17KT,27KT,,FCST
107,VABB,19/0700,190730Z,191130Z,270,17KT,27KT,-TSRA,FCST
108,VABB,19/1100,191130Z,191530Z,270,17KT,30KT,TSRA,FCST
109,VABB,19/1500,191530Z,191930Z,,,,TSRA,FCST
110,VABB,19/1900,191930Z,192330Z,,,,TSRA,FCST
111,VABB,19/2010,192030Z,200100Z,250,17KT,27KT,,OBS
112,VABB,19/2300,192330Z,200330Z,,,,TSRA,FCST
113,VABB,20/0010,200030Z,200500Z,250,17KT,27KT,,FCST
114,VABB,20/0415,200430Z,200900Z,270,17KT,30KT,-TSRA,FCST
115,VABB,20/0815,200830Z,201300Z,270,17KT,30KT,-TSRA,FCST
116,VABB,20/1215,201230Z,201700Z,290,17KT,27KT,-TSRA,FCST
117,VABB,20/1615,201630Z,202100Z,250,17KT,30KT,-TSRA,FCST
118,VABB,20/2015,202030Z,210100Z,250,17KT,30KT,-TSRA,FCST
119,VABB,21/0015,210030Z,210500Z,250,17KT,30KT,-TSRA,FCST
120,VABB,21/0830,210900Z,211300Z,250,17KT,30KT,-TSRA,FCST
121,VABB,21/1230,211300Z,211700Z,250,17KT,30KT,-TSRA,FCST
122,VABB,21/1630,211700Z,212100Z,250,17KT,30KT,TSRA,FCST
123,VABB,21/2030,212100Z,220100Z,250,20KT,40KT,+TSRA,FCST
