Aerodrome warning for station VABB for July 2026
Sl. No.,Elements (Thunderstorm/Surface wind & Gust),Warning issue Time,true-1 / false-0,Remarks,Station,Validity From,Validity To,Accuracy_Percentage,Warning_Type
1,Gust warning,01/0100,1,Gust 23KT Dir 230 matched FEW030CB found,VABB,010130Z,010530Z,100%,Wind
1,Thunderstorm warning,01/0100,1, FEW030CB found,VABB,010130Z,010530Z,100%,Thunderstorm
2,Gust warning,01/0500,0,No gust/direction mismatch,VABB,010530Z,010930Z,0%,Wind
2,Thunderstorm warning,01/0500,1, FEW030CB found,VABB,010530Z,010930Z,100%,Thunderstorm
3,Gust warning,01/0930,1,Gust 22KT Dir 230 matched FEW030CB found,VABB,011000Z,011400Z,100%,Wind
3,Thunderstorm warning,01/0930,1, FEW030CB found,VABB,011000Z,011400Z,100%,Thunderstorm
4,Gust warning,01/1330,1,Gust 22KT Dir 230 matched FEW030CB found,VABB,011400Z,011800Z,100%,Wind
5,Gust warning,01/1730,0,No gust/direction mismatch,VABB,011800Z,012200Z,0%,Wind
5,Thunderstorm warning,01/1730,1, FEW030CB found,VABB,011800Z,012200Z,100%,Thunderstorm
6,Gust warning,02/0130,1,Wind Speed 4KT Dir 140 matched FEW030CB found,VABB,020200Z,020600Z,100%,Wind
6,Thunderstorm warning,02/0130,1, FEW030CB found,VABB,020200Z,020600Z,100%,Thunderstorm
7,Gust warning,02/0530,1,Wind Speed 9KT Dir 230 matched FEW030CB found,VABB,020600Z,021000Z,100%,Wind
7,Thunderstorm warning,02/0530,1, FEW030CB found,VABB,020600Z,021000Z,100%,Thunderstorm
8,Gust warning,02/0930,1,Wind Speed 6KT Dir 270 matched FEW030CB found,VABB,021000Z,021400Z,100%,Wind
8,Thunderstorm warning,02/0930,1, FEW030CB found,VABB,021000Z,021400Z,100%,Thunderstorm
9,Gust warning,02/1445,0,No gust/direction mismatch,VABB,021500Z,021900Z,0%,Wind
9,Thunderstorm warning,02/1445,1, FEW030CB found,VABB,021500Z,021900Z,100%,Thunderstorm
10,Gust warning,02/1845,0,No gust/direction mismatch,VABB,021900Z,022300Z,0%,Wind
10,Thunderstorm warning,02/1845,1, FEW030CB found,VABB,021900Z,022300Z,100%,Thunderstorm
11,Gust warning,02/2300,0,No gust/direction mismatch,VABB,022330Z,030330Z,0%,Wind
11,Thunderstorm warning,02/2300,1, FEW030CB found,VABB,022330Z,030330Z,100%,Thunderstorm
12,Gust warning,03/0300,1,Gust 18KT Dir 250 matched FEW030CB found,VABB,030330Z,030730Z,100%,Wind
12,Thunderstorm warning,03/0300,1, FEW030CB found,VABB,030330Z,030730Z,100%,Thunderstorm
13,Gust warning,03/0700,0,No gust/direction mismatch,VABB,030730Z,031130Z,0%,Wind
13,Thunderstorm warning,03/0700,1, FEW030CB found,VABB,030730Z,031130Z,100%,Thunderstorm
14,Gust warning,03/1100,0,No gust/direction mismatch,VABB,031130Z,031530Z,0%,Wind
14,Thunderstorm warning,03/1100,1, FEW030CB found,VABB,031130Z,031530Z,100%,Thunderstorm
15,Gust warning,03/1500,1,Wind Speed 8KT Dir 270 matched FEW030CB found,VABB,031530Z,031930Z,100%,Wind
15,Thunderstorm warning,03/1500,1, FEW030CB found,VABB,031530Z,031930Z,100%,Thunderstorm
16,Gust warning,03/1900,0,No gust/direction mismatch,VABB,031930Z,032330Z,0%,Wind
16,Thunderstorm warning,03/1900,1, FEW030CB found,VABB,031930Z,032330Z,100%,Thunderstorm
17,Gust warning,03/2300,1,Gust 22KT Dir 270 matched FEW030CB found,VABB,032330Z,040330Z,100%,Wind
17,Thunderstorm warning,03/2300,1, FEW030CB found,VABB,032330Z,040330Z,100%,Thunderstorm
18,Gust warning,04/0315,1,Gust 22KT Dir 270 matched FEW030CB found,VABB,040330Z,040800Z,100%,Wind
18,Thunderstorm warning,04/0315,1, FEW030CB found,VABB,040330Z,040800Z,100%,Thunderstorm
19,Gust warning,04/0650,0,No gust/direction mismatch,VABB,040700Z,041130Z,0%,Wind
19,Thunderstorm warning,04/0650,1, FEW030CB found,VABB,040700Z,041130Z,100%,Thunderstorm
20,Gust warning,04/1120,1,Wind Speed 13KT Dir 250 matched FEW030CB found,VABB,041100Z,041530Z,100%,Wind
20,Thunderstorm warning,04/1120,1, FEW030CB found,VABB,041100Z,041530Z,100%,Thunderstorm
21,Gust warning,04/1400,1,Gust 21KT Dir 270 matched FEW030CB found,VABB,041430Z,041830Z,100%,Wind
22,Gust warning,04/1540,1,Wind Speed 10KT Dir 270 matched FEW030CB found,VABB,041600Z,042000Z,100%,Wind
22,Thunderstorm warning,04/1540,1, FEW030CB found,VABB,041600Z,042000Z,100%,Thunderstorm
23,Gust warning,04/2215,1,Gust 29KT Dir 270 matched FEW030CB found,VABB,042230Z,050230Z,100%,Wind
24,Gust warning,05/0230,1,Gust 27KT Dir 250 matched FEW030CB found,VABB,050300Z,050700Z,100%,Wind
24,Thunderstorm warning,05/0230,1, FEW030CB found,VABB,050300Z,050700Z,100%,Thunderstorm
25,Gust warning,05/0440,1,Gust 25KT Dir 250 matched FEW030CB found,VABB,050500Z,050930Z,100%,Wind
25,Thunderstorm warning,05/0440,1, FEW030CB found,VABB,050500Z,050930Z,100%,Thunderstorm
26,Gust warning,05/0455,1,OBS,VABB,050430Z,050900Z,100%,Wind
26,Thunderstorm warning,05/0455,1,OBS,VABB,050430Z,050900Z,100%,Thunderstorm
27,Gust warning,05/0630,1,OBS,VABB,050630Z,051030Z,100%,Wind
27,Thunderstorm warning,05/0630,1,OBS,VABB,050630Z,051030Z,100%,Thunderstorm
28,Gust warning,05/1000,1,Wind Speed 16KT Dir 250 matched FEW030CB found,VABB,051030Z,051430Z,100%,Wind
28,Thunderstorm warning,05/1000,1, FEW030CB found,VABB,051030Z,051430Z,100%,Thunderstorm
29,Gust warning,05/1245,0,No gust/direction mismatch,VABB,051300Z,051730Z,0%,Wind
29,Thunderstorm warning,05/1245,1, FEW030CB found,VABB,051300Z,051730Z,100%,Thunderstorm
30,Gust warning,05/1645,0,No gust/direction mismatch,VABB,051700Z,052130Z,0%,Wind
30,Thunderstorm warning,05/1645,1, FEW030CB found,VABB,051700Z,052130Z,100%,Thunderstorm
31,Gust warning,05/2045,0,No gust/direction mismatch,VABB,052100Z,060130Z,0%,Wind
31,Thunderstorm warning,05/2045,1, FEW030CB found,VABB,052100Z,060130Z,100%,Thunderstorm
32,Gust warning,05/2330,1,Gust 22KT Dir 250 matched FEW030CB found,VABB,060000Z,060400Z,100%,Wind
32,Thunderstorm warning,05/2330,1, FEW030CB found,VABB,060000Z,060400Z,100%,Thunderstorm
33,Gust warning,06/0330,1,Gust 34KT Dir 270 matched FEW030CB found,VABB,060400Z,060800Z,100%,Wind
33,Thunderstorm warning,06/0330,1, FEW030CB found,VABB,060400Z,060800Z,100%,Thunderstorm
34,Gust warning,06/0730,0,No gust/direction mismatch,VABB,060800Z,061200Z,0%,Wind
